event,lat,lon,state,event_time,start_time,accum_time,period_start,period_end,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag,qc_flag
48,45.98847691372411,-68.70738710729319,ME,2002041409,2002041403,2002041413,2002041401,2002041415,0.2273647495981237,86.52000045776367,1,0.2273647495981237,0.0,37.0,827.6689958,7,86.29263570816555,102.80263570816555,115.47303946250376,128.0873768300754,162.88537683007536,177.87137683007538,0,0,1,1,1
49,26.39919468162388,-81.50071449209696,FL,2002041419,2002041418,2002041422,2002041408,2002041507,31.13622410590304,178.5,3,53.00597773304136,5.220831960344553,132.8800048828125,492.9425931,2,147.36377589409696,179.87783318308666,206.80183318308667,234.7856090771836,306.6921439284626,340.19766636617334,0,0,0,0,1
50,35.26620685524053,-76.56998587857447,NC,2002041519,2002041518,2002041522,2002041508,2002041607,118.59422387595814,253.75,16,632.5191418966401,9.024834581526251,189.1300048828125,146.1068789,0,135.15577612404186,166.8052486282229,196.1241676030048,227.6201676030048,312.87463327330187,359.61902475226475,0,1,0,0,1
51,34.59833190187222,-79.84366209594151,SC,2002041719,2002041719,2002041723,2002041711,2002041807,1.6879999999999882,116.75,1,1.6879999999999882,0.0,52.130001068115234,44.85521961,0,115.062,139.192,159.4999654262208,181.00304173821,237.42970039087976,264.91239361732875,0,1,0,0,1
52,35.25405411540046,-76.7292232104569,NC,2002041720,2002041719,2002041722,2002041709,2002041810,34.70011151905811,168.88000011444092,5,52.84745446025984,5.684233728450937,150.25,29.10417205,0,134.1798885953828,165.54886005726618,194.69646456610803,226.0041726819238,311.03285225962287,357.64513634616384,0,1,0,0,1
53,32.77140441383281,-82.4103031341233,GA,2002041721,2002041719,2002041723,2002041710,2002041811,69.93350641491774,182.6000061035156,9,266.6053016437325,5.555206797697612,92.75,67.8929455,0,112.66649968859788,137.30449968859787,158.72432779767746,182.2029497265344,245.7029497265344,276.5475716553914,0,1,0,0,1
54,26.62638215478176,-81.99760100240019,FL,2002041721,2002041721,2002041723,2002041711,2002041809,43.61457758194152,201.3800048828125,2,50.52732131645581,5.234289987709633,132.8800048828125,143.5233368,0,157.76542730087098,193.5372500971593,222.23925009715933,252.16907289344763,327.49129118515333,361.78129118515335,0,1,0,0,1
55,36.836886341380456,-81.94703436598218,VA,2002041722,2002041722,2002041803,2002041713,2002041810,20.98357172325835,95.25999927520752,4,32.97209013532768,4.0907497232645325,49.0,117.3031337,0,74.27642755194917,87.73842755194917,98.98403629613632,110.86991901805754,141.20434657000672,155.64520167390506,0,1,0,0,1
56,43.91617393375027,-89.31708981689388,WI,2002041810,2002041808,2002041820,2002041800,2002041821,24.797999618530284,110.64999961853027,15,160.7759531494434,9.696242449179817,38.630001068115234,715.2640706,5,85.85199999999999,107.70846658049308,127.01246658049308,148.3625606702397,207.2912881269397,236.2480155836398,0,0,1,1,1
57,45.64675828709303,-89.43683802593426,WI,2002041822,2002041821,2002041902,2002041814,2002041911,14.361648280765865,96.51000118255617,5,28.44712649478265,6.206756839867643,54.380001068115234,971.9805663,5,82.14835290179029,101.45235290179028,117.70835290179028,135.19309754043587,181.10982374454468,202.91256838319023,0,0,1,0,1
58,31.657003894172654,-82.81781136398928,GA,2002041823,2002041822,2002041901,2002041809,2002041911,157.4415578196223,276.1000061035156,15,405.9981158410698,8.68224894176075,124.0,243.3874698,1,118.65844828389334,140.50244828389333,158.02844828389334,176.09139814011826,221.02044828389336,241.3,0,0,0,0,1
59,37.94421212220362,-92.54076016621671,MO,2002041922,2002041921,2002042009,2002041912,2002042010,44.62400106334687,148.51000106334686,27,446.2458128682699,11.676536400269692,55.630001068115234,562.8047732,5,103.886,125.45655402425312,143.9985540242531,164.084,218.5371977207049,244.8840245488872,0,0,1,1,1
60,35.43080376570675,-76.66300186992618,NC,2002041923,2002041922,2002042005,2002041917,2002042010,5.719939624237156,133.76999843120575,1,5.719939624237156,0.0,44.25,374.6718248,6,128.0500588069686,157.81099950627586,186.25899950627587,216.23099950627585,296.82599901255173,342.0379990125518,0,0,1,1,1
61,39.86614058972753,-88.11986548818567,IL,2002042000,2002041923,2002042005,2002041914,2002042012,24.02200118255614,118.51000118255617,8,102.62654397583584,9.393022218190278,69.25,430.6112779,3,94.488,113.2681390953764,129.03199999999998,146.79613909537642,195.57394309137496,220.96413909537645,0,0,0,1,1
62,43.6522443751399,-94.3779227462196,MN,2002042116,2002042105,2002042117,2002042104,2002042204,132.41999723911283,234.01999723911285,1,132.41999723911283,0.0,127.25,312.2043801,2,101.6,128.6893581420383,152.37605576111906,178.53805576111907,249.7787468018024,284.7421049438407,0,0,0,1,0
63,39.02702428646001,-83.91558908375964,OH,2002042122,2002042116,2002042201,2002042111,2002042206,12.429998474121092,102.5999984741211,3,18.80999694824221,0.0,36.880001068115234,1012.639674,9,90.17,107.188,121.1831432245402,135.91514322454023,174.01514322454022,192.31124041558417,0,0,1,0,1
64,36.52771052867207,-88.12406318154535,KY,2002042413,2002042407,2002042419,2002042404,2002042422,17.995997248649587,130.0099972486496,3,19.144000452995314,0.0,29.0,589.0853932,10,112.014,133.06697359908807,150.368,168.6269735990881,215.87097359908805,238.7309735990881,0,0,1,0,1
