event,lat,lon,event_time,start_time,end_time,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag
71,37.86463429390388,-94.14466017259468,2002050722,2002050714,2002050802,24.13600540161132,145.03999710083008,7.0,78.99727756485521,13.05898852984942,38.630001068115234,718.6986343662284,5,120.90399169921876,146.68857470630363,167.77056759443568,189.8685752263748,245.933744931408,271.8417612405907,0,0,1,0
72,44.296148104326186,-97.19065579621446,2002050805,2002050723,2002050808,45.564824491384925,130.0099973678589,26.0,440.7525187350613,68.71352124365984,65.69000244140625,995.8142249370408,9,84.44517287647396,102.10800170898438,116.33199310302736,130.80999755859375,166.52122008916368,182.5232189905309,0,0,1,1
73,39.0933597822102,-93.74097910909973,2002050823,2002050821,2002050906,1.998739971899596,117.5,3.0,3.608386945517324,9.311768570864311,38.880001068115234,1339.448839442093,8,115.5012600281004,142.67926493226128,165.586744116025,190.17292280473325,254.68892153733705,285.40600558585487,0,0,1,0
74,33.516523585023464,-93.38304693147596,2002051004,2002051003,2002051013,31.415998458862305,163.74999809265137,7.0,81.18472946905842,14.310529891767272,58.0,932.3127728796976,8,132.33399963378906,159.25799560546875,181.11521018633823,204.47000122070312,263.407115589806,290.83013899105407,0,0,1,1
75,31.206078889291035,-102.84430975631976,2002051022,2002051022,2002051101,5.244629881130749,89.25999736785889,3.0,12.592637083279186,7.727531029368168,76.25,171.5881253367947,0,84.01536748672814,104.5893667453708,120.95090989049342,138.22291165507062,183.1222831160701,204.1825831307206,0,1,0,0
76,33.0839147091353,-82.75921094596765,2002051119,2002051118,2002051200,44.39586974341695,156.89999389648438,7.0,169.50732918570364,8.819886836022683,130.0,55.91063089163486,0,112.50412415306742,135.08564317395022,153.6276379054577,173.20166817387215,223.9734762899739,247.57100635790465,0,1,0,0
77,39.60775857248939,-93.35869570350678,2002051205,2002051123,2002051207,8.392005920410185,120.66000366210938,3.0,17.120017051696777,9.369358504493505,45.810001373291016,937.967862962018,8,112.2679977416992,138.93798828124997,161.28999328613278,185.4100206033571,248.17455940570312,278.12004078046385,0,0,1,1
78,41.75620456558284,-83.53333085005022,2002051211,2002051204,2002051216,11.468003273010254,85.89000034332275,19.0,78.55825218054859,4.262536989622628,19.5,1549.094575308247,11,74.4219970703125,91.18599700927736,105.72868795647364,121.47668905510643,164.1486918116386,184.53376763710773,0,0,1,1
79,37.4712603233014,-90.0863083400559,2002051302,2002051300,2002051311,27.361549167622968,138.40000349283218,146.0,1300.9817745946432,68.9825133305844,41.08000183105469,1764.8798388870316,8,111.03845432520922,135.168450363331,155.30778909231734,176.8479467595337,233.1690789205797,259.7722131652048,0,0,1,1
80,44.20361219040008,-69.10655313823196,2002051323,2002051315,2002051402,5.045536515663329,115.25999736785889,3.0,8.642904989877437,6.125017844458547,21.6299991607666,1636.2552755019417,10,110.21446085219556,133.07445879522197,150.60045977178447,168.23908796686618,225.96206195986937,250.76755534016888,0,0,1,0
81,40.40512039678969,-75.54447311347764,2002051320,2002051318,2002051404,0.1990595354986482,101.63000059127808,1.0,0.1990595354986482,0.0,30.690000534057617,1331.4857996232658,4,101.43094105577944,122.36296250189,140.00626114010822,159.3102619946004,211.50420066978472,237.4644553952754,0,0,1,0
